"episode_id","device_id","call_type","trace","start_timestamp","end_timestamp","timestamp"
0,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"d5e84f8af01b2728021d4f43f53a163c0c90000c",1587663260695,1587663274695,1587663260695
0,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"d5e84f8af01b2728021d4f43f53a163c0c90000c",1587663260695,1587663274695,1587663274695
1,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,"47c125dc7bd163b8612cdea13724a814917b6e93",1587739118007,1587739118007,1587739118007
1,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,"47c125dc7bd163b8612cdea13724a814917b6e93",1587739118007,1587739118007,1587739118007
2,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"9cc793ffd6e88b1d850ce540b5d7e000ef5650d4",1587746544891,1587746604890,1587746544891
2,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"9cc793ffd6e88b1d850ce540b5d7e000ef5650d4",1587746544891,1587746604890,1587746604890
2,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"9cc793ffd6e88b1d850ce540b5d7e000ef5650d4",1587746604891,1587746639891,1587746604891
2,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"9cc793ffd6e88b1d850ce540b5d7e000ef5650d4",1587746604891,1587746639891,1587746639891
3,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"51fb9344e988049a3fec774c7ca622358bf80264",1587911379859,1587911439858,1587911379859
3,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"51fb9344e988049a3fec774c7ca622358bf80264",1587911379859,1587911439858,1587911439858
3,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"51fb9344e988049a3fec774c7ca622358bf80264",1587911439859,1587911442859,1587911439859
3,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"51fb9344e988049a3fec774c7ca622358bf80264",1587911439859,1587911442859,1587911442859
4,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,"2a862a7730cfdfaf103a9487afe3e02935fd6e02",1587992647361,1587992647361,1587992647361
4,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,"2a862a7730cfdfaf103a9487afe3e02935fd6e02",1587992647361,1587992647361,1587992647361
5,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,"a2c53f6a086d98622c06107780980cf1bb4e37bd",1588020039448,1588020050448,1588020039448
5,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,"a2c53f6a086d98622c06107780980cf1bb4e37bd",1588020039448,1588020050448,1588020050448
6,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"56589df8c830c70e330b644921ed38e08d8fd1f3",1588176189024,1588176249023,1588176189024
6,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"56589df8c830c70e330b644921ed38e08d8fd1f3",1588176189024,1588176249023,1588176249023
6,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"56589df8c830c70e330b644921ed38e08d8fd1f3",1588176249024,1588176254024,1588176249024
6,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,"56589df8c830c70e330b644921ed38e08d8fd1f3",1588176249024,1588176254024,1588176254024
7,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,"cab458018a8ed3b626515e794c70b6f415318adc",1588197745079,1588197745079,1588197745079
7,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",3,"cab458018a8ed3b626515e794c70b6f415318adc",1588197745079,1588197745079,1588197745079
